City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bambous Virieux,MU,-20.3428,57.7575,77.22,68,100,14.67,overcast clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,80.56,91,98,5.01,overcast clouds
2,Talnakh,RU,69.4865,88.3972,-19.61,87,100,1.23,overcast clouds
3,Mar Del Plata,AR,-38.0023,-57.5575,72.88,83,100,7.0,overcast clouds
4,Vaini,TO,-21.2,-175.2,77.36,80,19,16.98,light rain
5,Luderitz,NA,-26.6481,15.1594,63.28,82,2,13.78,clear sky
6,Mataura,NZ,-46.1927,168.8643,49.21,81,100,0.56,overcast clouds
7,Hobart,AU,-42.8794,147.3294,49.26,85,75,8.05,broken clouds
8,Tasiilaq,GL,65.6145,-37.6368,35.76,70,100,19.73,overcast clouds
9,Yellowknife,CA,62.456,-114.3525,10.42,91,100,10.0,overcast clouds
10,Saskylakh,RU,71.9167,114.0833,-44.88,100,67,3.2,broken clouds
11,Busselton,AU,-33.65,115.3333,52.05,73,100,9.78,overcast clouds
12,Bluff,NZ,-46.6,168.3333,49.96,81,23,2.44,few clouds
13,Hermanus,ZA,-34.4187,19.2345,66.9,83,100,10.87,overcast clouds
14,Port Hardy,CA,50.6996,-127.4199,38.75,100,90,8.05,light shower snow
15,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,64,100,18.23,light rain
16,Gobabis,NA,-22.45,18.9667,75.0,44,98,19.86,overcast clouds
17,Hithadhoo,MV,-0.6,73.0833,81.12,78,100,10.98,overcast clouds
18,Namibe,AO,-15.1961,12.1522,71.01,80,33,6.24,scattered clouds
19,Blagoveshchensk,RU,50.2667,127.5333,-6.65,86,12,5.08,few clouds
20,Lebu,CL,-37.6167,-73.65,58.14,58,2,9.44,clear sky
21,Rikitea,PF,-23.1203,-134.9692,77.54,75,78,9.78,broken clouds
22,Arraial Do Cabo,BR,-22.9661,-42.0278,78.62,85,46,16.69,scattered clouds
23,Punta Arenas,CL,-53.15,-70.9167,51.91,32,75,23.02,broken clouds
24,Sura,RU,53.8879,45.7419,17.31,79,47,5.84,scattered clouds
25,Yeppoon,AU,-23.1333,150.7333,71.38,74,6,14.61,clear sky
26,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,59,75,11.18,broken clouds
27,Riyadh,SA,24.6877,46.7219,57.34,25,21,7.49,few clouds
28,Kaitangata,NZ,-46.2817,169.8464,54.93,77,64,2.37,broken clouds
29,Ushuaia,AR,-54.8,-68.3,47.14,53,48,24.36,scattered clouds
30,Grindavik,IS,63.8424,-22.4338,41.47,87,75,24.16,broken clouds
31,Bow Island,CA,49.8668,-111.3684,38.48,44,100,20.13,overcast clouds
32,Jamestown,US,42.097,-79.2353,43.72,46,0,18.99,clear sky
33,Kapaa,US,22.0752,-159.319,75.11,59,73,4.0,broken clouds
34,Dikson,RU,73.5069,80.5464,-18.36,94,98,12.8,overcast clouds
35,Cape Town,ZA,-33.9258,18.4232,67.12,79,20,4.0,few clouds
36,Nikolskoye,RU,59.7035,30.7861,23.4,98,100,4.9,light snow
37,Antibes,FR,43.5624,7.1278,50.68,58,0,13.8,clear sky
38,Ribeira Grande,PT,38.5167,-28.7,57.6,54,40,9.22,scattered clouds
39,Henties Bay,NA,-22.116,14.2845,60.85,84,0,7.34,clear sky
40,Tiksi,RU,71.6872,128.8694,-17.77,100,100,1.86,overcast clouds
41,Saldanha,ZA,-33.0117,17.9442,63.07,91,99,14.14,overcast clouds
42,Kewanee,US,41.2456,-89.9248,49.86,39,91,16.89,overcast clouds
43,Horadiz,AZ,39.4488,47.3353,48.56,88,97,3.2,overcast clouds
44,Bredasdorp,ZA,-34.5322,20.0403,65.28,83,100,5.37,overcast clouds
45,Carnarvon,AU,-24.8667,113.6333,69.84,74,0,23.71,clear sky
46,Atuona,PF,-9.8,-139.0333,78.91,77,23,19.13,few clouds
47,Longyearbyen,SJ,78.2186,15.6401,31.84,80,75,17.27,light snow
48,Tuktoyaktuk,CA,69.4541,-133.0374,-7.35,96,100,16.08,overcast clouds
49,East London,ZA,-33.0153,27.9116,72.54,94,75,5.75,light rain
50,Lorengau,PG,-2.0226,147.2712,82.27,84,100,11.32,overcast clouds
51,Lyantonde,UG,-0.4031,31.1572,66.27,83,100,4.32,overcast clouds
52,Lagoa,PT,39.05,-27.9833,57.52,51,100,26.13,overcast clouds
53,Selcuk,TR,37.9514,27.3685,61.02,91,100,0.6,light rain
54,Ponta Do Sol,PT,32.6667,-17.1,67.01,78,65,2.57,broken clouds
55,Daru,PG,-9.0763,143.2092,76.69,93,98,9.75,overcast clouds
56,Khatanga,RU,71.9667,102.5,-51.41,100,81,2.21,broken clouds
57,Pudem,RU,58.3044,52.1675,0.68,96,98,3.76,overcast clouds
58,Qaanaaq,GL,77.484,-69.3632,-3.95,68,42,3.18,scattered clouds
59,Adre,TD,13.4667,22.2,76.35,19,62,7.78,broken clouds
60,Arrifes,PT,37.7667,-25.7,57.45,67,40,12.66,scattered clouds
61,Tuxpan,MX,19.55,-103.4,81.37,31,31,4.72,scattered clouds
62,Avarua,CK,-21.2078,-159.775,73.45,100,75,13.8,heavy intensity rain
63,Geraldton,AU,-28.7667,114.6,59.41,77,82,5.75,broken clouds
64,Bilyayivka,UA,46.4832,30.2168,45.09,86,100,13.85,overcast clouds
65,Sterling,US,39.0062,-77.4286,52.11,36,1,13.0,clear sky
66,Kavieng,PG,-2.5744,150.7967,83.08,76,100,4.59,overcast clouds
67,Lamu,KE,-2.2717,40.902,82.62,81,75,11.16,light rain
68,Duldurga,RU,50.6761,113.5931,7.86,84,100,4.81,overcast clouds
69,Vanavara,RU,60.34,102.2797,-34.37,99,29,3.47,scattered clouds
70,Puerto Escondido,MX,15.85,-97.0667,86.11,62,0,9.84,clear sky
71,Port Elizabeth,ZA,-33.918,25.5701,72.1,93,100,9.1,overcast clouds
72,Newport,GB,51.5877,-2.9984,55.17,79,100,18.01,overcast clouds
73,Hilo,US,19.7297,-155.09,77.29,1,12,7.09,few clouds
74,Hukuntsi,BW,-24.0,21.75,79.79,45,100,16.69,overcast clouds
75,Luganville,VU,-15.5333,167.1667,81.01,87,100,14.25,light rain
76,Maneadero,MX,31.7167,-116.5667,65.19,65,5,1.01,clear sky
77,Bengkulu,ID,-3.8004,102.2655,75.47,90,99,3.87,moderate rain
78,Mahebourg,MU,-20.4081,57.7,77.25,69,98,14.45,overcast clouds
79,Butaritari,KI,3.0707,172.7902,82.65,72,97,17.72,overcast clouds
80,Buala,SB,-8.145,159.5921,80.83,83,100,6.69,overcast clouds
81,Tuatapere,NZ,-46.1333,167.6833,51.21,73,59,2.17,broken clouds
82,Dunedin,NZ,-45.8742,170.5036,52.29,76,40,3.15,scattered clouds
83,Vostok,RU,46.4856,135.8833,2.98,95,100,8.97,light snow
84,Baykit,RU,61.67,96.37,-23.03,99,49,2.82,scattered clouds
85,Portland,US,45.5234,-122.6762,44.2,90,75,4.0,broken clouds
86,Bekhtery,UA,46.251,32.2927,42.01,82,100,14.41,overcast clouds
87,Kodiak,US,57.79,-152.4072,12.22,72,13,30.58,few clouds
88,Charters Towers,AU,-20.1,146.2667,74.53,81,100,7.7,overcast clouds
89,Ayagoz,KZ,47.9714,80.4392,20.89,95,100,3.51,light snow
90,Olinda,BR,-8.0089,-34.8553,82.15,69,9,10.76,clear sky
91,Faya,SA,18.3851,42.4509,51.13,40,0,5.73,clear sky
92,Olafsvik,IS,64.8945,-23.7142,42.21,88,100,21.81,heavy intensity rain
93,Port Alfred,ZA,-33.5906,26.891,70.84,90,100,7.54,light rain
94,Katsuura,JP,35.1333,140.3,54.1,65,19,6.76,few clouds
95,Chimore,BO,-16.9833,-65.1333,81.68,90,67,2.73,broken clouds
96,Narsaq,GL,60.9167,-46.05,17.82,80,4,5.35,clear sky
97,Chokurdakh,RU,70.6333,147.9167,-36.38,97,99,1.5,overcast clouds
98,Pryazha,RU,61.6926,33.6216,18.84,95,92,5.19,overcast clouds
99,Lasa,IT,46.6166,10.7002,30.36,85,31,7.54,scattered clouds
100,Vestmannaeyjar,IS,63.4427,-20.2734,44.4,69,100,21.59,overcast clouds
101,Ahipara,NZ,-35.1667,173.1667,68.18,96,100,5.14,light rain
102,Meulaboh,ID,4.1363,96.1285,76.51,90,85,5.44,overcast clouds
103,Farafangana,MG,-22.8167,47.8333,76.57,78,0,8.57,clear sky
104,Dingle,PH,10.9995,122.6711,75.42,93,100,7.72,overcast clouds
105,San Patricio,US,28.017,-97.5169,64.81,32,0,5.82,clear sky
106,Cherskiy,RU,68.75,161.3,-42.65,100,47,1.66,scattered clouds
107,Arsenyev,RU,44.1631,133.2733,9.46,73,97,12.88,overcast clouds
108,Batagay,RU,67.6333,134.6333,-39.95,100,97,1.7,overcast clouds
109,Albany,US,42.6001,-73.9662,45.09,35,0,3.0,clear sky
110,Synya,RU,65.3718,58.0387,10.54,94,96,7.45,overcast clouds
111,Barrow,US,71.2906,-156.7887,-11.18,77,20,13.8,few clouds
112,Lompoc,US,34.6391,-120.4579,64.42,60,1,3.0,clear sky
113,Itaituba,BR,-4.2761,-55.9836,79.38,96,100,1.59,overcast clouds
114,Souillac,MU,-20.5167,57.5167,77.36,71,86,13.35,overcast clouds
115,Gavrilovka Vtoraya,RU,52.877,42.7663,21.16,74,9,10.76,clear sky
116,Banamba,ML,13.55,-7.45,79.02,11,100,7.72,overcast clouds
117,Provideniya,RU,64.3833,-173.3,-10.64,89,57,5.95,broken clouds
118,Yumen,CN,40.2833,97.2,20.37,39,0,11.79,clear sky
119,Tukrah,LY,32.5341,20.5791,58.91,71,9,12.06,clear sky
120,Cockburn Town,TC,21.4612,-71.1419,82.36,69,40,11.5,scattered clouds
121,Sukhobezvodnoye,RU,57.0491,44.8891,12.34,93,100,5.3,overcast clouds
122,Fare,PF,-16.7,-151.0167,80.64,74,98,11.54,overcast clouds
123,Araouane,ML,18.9048,-3.5265,74.61,8,8,7.81,clear sky
124,Linda,US,39.1277,-121.5508,52.32,79,90,17.27,overcast clouds
125,Sayyan,YE,15.1718,44.3244,45.59,47,0,4.54,clear sky
126,Nueva Loja,EC,0.0847,-76.8828,89.08,62,40,3.44,scattered clouds
127,Qandala,SO,11.472,49.8728,76.21,78,18,8.75,few clouds
128,La Concordia,NI,13.1953,-86.1667,77.34,59,19,12.55,few clouds
129,Kumher,IN,27.3167,77.3667,55.56,46,2,2.89,clear sky
130,Beringovskiy,RU,63.05,179.3167,-22.47,90,100,10.83,overcast clouds
131,Idlib,SY,35.9306,36.6339,47.59,54,100,6.17,overcast clouds
132,Niquero,CU,20.0431,-77.5828,85.48,58,26,4.07,scattered clouds
133,Kapit,MY,2.0167,112.9333,74.16,99,100,0.87,light rain
134,Amapa,BR,1.0,-52.0,86.22,60,81,4.05,broken clouds
135,Mocuba,MZ,-16.8392,36.9856,81.48,67,0,8.79,clear sky
136,Krasnyy Oktyabr,RU,56.1167,38.8833,19.51,96,97,6.98,overcast clouds
137,Skelleftea,SE,64.7507,20.9528,33.01,69,75,1.99,broken clouds
138,Kuah,MY,6.3265,99.8432,79.97,76,42,17.9,scattered clouds
139,Kita,ML,13.0349,-9.4895,82.62,11,13,4.63,few clouds
140,Severo-Kurilsk,RU,50.6789,156.125,33.22,96,87,13.89,light snow
141,Mangrol,IN,21.1167,70.1167,73.94,59,0,5.7,clear sky
142,Codrington,AU,-38.2667,141.9667,66.92,35,99,8.75,overcast clouds
143,Bethel,US,41.3712,-73.414,47.19,39,0,5.99,clear sky
144,Seoul,KR,37.5683,126.9778,26.04,31,0,10.83,clear sky
145,Juneau,US,58.3019,-134.4197,27.21,95,100,7.81,overcast clouds
146,Sangar,RU,63.9242,127.4739,-32.67,98,85,1.81,overcast clouds
147,Georgetown,MY,5.4112,100.3354,79.9,82,40,9.22,thunderstorm
148,Zhigansk,RU,66.7697,123.3711,-39.1,100,99,4.27,overcast clouds
149,Palaikastron,GR,35.2,26.25,61.75,73,16,9.01,few clouds
150,Moroto,UG,2.5345,34.6666,71.89,50,100,20.02,overcast clouds
151,Kapitanivka,UA,48.9172,31.7167,39.79,76,100,11.41,overcast clouds
152,Termiz,UZ,37.2242,67.2783,39.29,70,99,2.3,mist
153,Vanimo,PG,-2.6741,141.3028,78.87,88,100,6.51,overcast clouds
154,Saint-Philippe,RE,-21.3585,55.7679,78.39,79,60,14.74,light rain
155,Sumter,US,28.7086,-82.0831,85.44,76,100,8.25,overcast clouds
156,Sao Filipe,CV,14.8961,-24.4956,75.42,69,88,8.79,overcast clouds
157,Upernavik,GL,72.7868,-56.1549,6.35,92,100,9.98,overcast clouds
158,Necochea,AR,-38.5473,-58.7368,72.03,49,100,18.1,overcast clouds
159,Trapani,IT,37.8333,12.6667,49.93,78,100,11.56,overcast clouds
160,Castro,BR,-24.7911,-50.0119,77.5,49,100,4.79,overcast clouds
161,Tessalit,ML,20.1986,1.0114,74.44,7,3,7.63,clear sky
162,Beloha,MG,-25.1667,45.05,74.19,81,86,10.69,overcast clouds
163,Avera,US,33.194,-82.5271,62.11,39,0,8.03,clear sky
164,Buchanan,LR,5.8808,-10.0467,82.36,80,17,8.3,few clouds
165,Thompson,CA,55.7435,-97.8558,7.39,90,99,1.16,overcast clouds
166,Richards Bay,ZA,-28.783,32.0377,72.59,82,100,10.36,overcast clouds
167,Victoria,HK,22.2855,114.1577,67.32,71,27,3.0,scattered clouds
168,Ormara,PK,25.2088,64.6357,72.16,43,100,4.47,overcast clouds
169,Hofn,IS,64.2539,-15.2082,40.64,86,100,5.26,overcast clouds
170,Ponta Delgada,PT,37.7333,-25.6667,59.72,67,40,12.66,scattered clouds
171,Alofi,NU,-19.0595,-169.9187,78.13,70,8,6.91,clear sky
172,Ozernovskiy,RU,51.5,156.5167,32.31,99,100,10.78,snow
173,Salinas,US,36.6777,-121.6555,56.82,65,100,2.15,overcast clouds
174,Bandarbeyla,SO,9.4942,50.8122,77.0,79,7,23.35,clear sky
175,Arman,RU,59.7,150.1667,12.58,94,100,9.13,light snow
176,Birao,CF,10.2849,22.7882,77.38,26,55,5.99,broken clouds
177,Krasnoarmeysk,RU,51.0239,45.6969,18.16,82,14,8.81,few clouds
178,Bathsheba,BB,13.2167,-59.5167,81.21,89,75,16.11,broken clouds
179,Iqaluit,CA,63.7506,-68.5145,5.7,71,100,1.99,overcast clouds
180,Norrtalje,SE,59.758,18.705,32.18,92,100,1.54,overcast clouds
181,Ingham,US,42.6,-84.3833,47.91,49,1,5.75,clear sky
182,Manggar,ID,-2.8833,108.2667,78.69,87,100,7.45,overcast clouds
183,Quesnel,CA,52.9999,-122.5029,23.95,82,100,6.62,overcast clouds
184,Toppenish,US,46.3774,-120.3087,44.35,65,90,6.89,overcast clouds
185,Hun,LY,29.1268,15.9477,53.46,49,1,8.05,clear sky
186,Quatre Cocos,MU,-20.2078,57.7625,77.09,68,100,15.01,overcast clouds
187,Adrar,MR,20.5022,-10.0711,72.86,13,66,9.82,broken clouds
188,Rincon,US,32.296,-81.2354,64.58,50,20,1.99,few clouds
189,Ventspils,LV,57.3894,21.5606,31.93,100,90,8.05,overcast clouds
190,Payakumbuh,ID,-0.2202,100.6308,70.63,99,100,1.54,overcast clouds
191,Manyana,BW,-23.4,21.7167,75.18,54,100,12.75,overcast clouds
192,Muscat,OM,23.6139,58.5922,69.82,62,11,4.7,few clouds
193,Cidreira,BR,-30.1811,-50.2056,74.82,75,0,10.51,clear sky
194,Constitucion,CL,-35.3333,-72.4167,62.22,56,0,18.34,clear sky
195,Alekseyevsk,RU,57.8406,108.3492,-4.13,100,97,3.31,overcast clouds
196,Hamilton,US,39.1834,-84.5333,49.75,47,1,1.01,clear sky
197,Zalantun,CN,48.0,122.7167,8.89,71,100,4.25,overcast clouds
198,Clyde River,CA,70.4692,-68.5914,-1.97,84,28,9.22,light snow
199,Salina,US,38.8403,-97.6114,56.17,25,1,16.11,clear sky
200,Honningsvag,NO,70.9821,25.9704,29.95,93,90,12.66,snow
201,Dudinka,RU,69.4058,86.1778,-21.53,91,100,6.29,overcast clouds
202,Pangnirtung,CA,66.1451,-65.7125,-3.75,71,94,5.37,overcast clouds
203,New Norfolk,AU,-42.7826,147.0587,49.5,74,25,2.1,scattered clouds
204,Albion,US,42.2431,-84.753,47.91,43,1,14.97,clear sky
205,Mulchen,CL,-37.7167,-72.2333,69.82,26,97,5.5,overcast clouds
206,Grand Gaube,MU,-20.0064,57.6608,77.38,66,100,4.0,overcast clouds
207,Pevek,RU,69.7008,170.3133,-33.63,96,20,0.63,few clouds
208,Sungairaya,ID,0.7,108.9,78.08,88,100,5.17,overcast clouds
209,Te Anau,NZ,-45.4167,167.7167,50.4,83,65,0.49,broken clouds
210,Gushikawa,JP,26.3544,127.8686,67.62,71,90,14.97,overcast clouds
211,Hay River,CA,60.8156,-115.7999,-1.23,93,58,10.29,broken clouds
212,Hambantota,LK,6.1241,81.1185,73.74,100,20,3.44,few clouds
213,Khandyga,RU,62.6667,135.6,-40.58,100,80,1.48,broken clouds
214,Luce,FR,48.4369,1.4636,50.0,97,100,4.0,overcast clouds
215,Kavaratti,IN,10.5669,72.642,81.59,73,62,1.7,broken clouds
216,Ancud,CL,-41.8697,-73.8203,62.42,65,53,12.24,broken clouds
217,Novi Di Modena,IT,44.8905,10.9014,41.63,81,35,5.06,scattered clouds
218,Limoeiro Do Ajuru,BR,-1.8953,-49.3806,88.3,58,89,3.87,overcast clouds
219,Kailua,US,21.4022,-157.7394,78.78,59,96,19.75,overcast clouds
220,Luanda,AO,-8.8368,13.2343,82.4,78,40,4.61,scattered clouds
221,Harnosand,SE,62.6323,17.9379,30.99,85,100,13.62,overcast clouds
222,Isangel,VU,-19.55,169.2667,80.31,87,99,8.3,moderate rain
223,Berlevag,NO,70.8578,29.0864,26.4,91,100,14.52,overcast clouds
224,Kruisfontein,ZA,-34.0033,24.7314,69.89,85,100,10.74,overcast clouds
225,Qui Nhon,VN,13.7667,109.2333,72.37,86,41,18.88,scattered clouds
